customer_id,first_name,last_name,age,contact_pref,vehicle_id
1,Alice,Jones,23,Mail,859
2,Fiona,Garcia,72,Email,346
3,Alice,Miller,67,Email,
4,George,Johnson,18,SMS,
5,Bob,Smith,23,Phone,929
6,Hannah,Smith,67,SMS,
7,Hannah,Brown,70,SMS,915
8,Hannah,Miller,41,Email,
9,Charlie,Johnson,76,Mail,
10,Charlie,Garcia,39,Mail,
11,Hannah,Miller,54,SMS,601
12,Fiona,Brown,43,Email,
13,Hannah,Brown,52,Mail,
14,Charlie,Davis,42,Mail,138
15,Ethan,Miller,58,Mail,633
16,George,Smith,68,Mail,711
17,Hannah,Smith,66,SMS,
18,Alice,Williams,74,Mail,891
19,Alice,Miller,52,SMS,672
20,Charlie,Garcia,51,Email,
21,George,Miller,21,Phone,
22,Alice,Garcia,46,Mail,
23,Alice,Williams,51,SMS,
24,Charlie,Garcia,50,Email,
25,Fiona,Brown,75,SMS,953
26,George,Smith,78,Email,
27,Diana,Smith,30,SMS,
28,Bob,Garcia,23,SMS,
29,Charlie,Williams,68,Mail,
30,George,Smith,34,Mail,
31,Diana,Williams,57,Email,
32,Hannah,Garcia,62,Email,
33,Fiona,Davis,41,Mail,
34,Diana,Davis,39,Phone,
35,Charlie,Miller,80,Email,
36,George,Jones,71,Phone,
37,George,Garcia,22,SMS,272
38,George,Smith,55,Mail,477
39,Hannah,Jones,71,Mail,
40,Fiona,Brown,78,Mail,
41,Ethan,Garcia,79,Email,21
42,Alice,Davis,52,Phone,
43,Fiona,Brown,56,Email,
44,Ethan,Smith,38,Mail,910
45,George,Garcia,45,Email,
46,Hannah,Williams,30,Email,170
47,Hannah,Davis,32,SMS,
48,Bob,Davis,57,SMS,
49,Bob,Miller,44,Mail,584
50,Fiona,Williams,49,Phone,217
51,Bob,Miller,77,Email,672
52,George,Jones,77,Phone,
53,Ethan,Garcia,31,Email,
54,Charlie,Davis,32,Mail,679
55,Bob,Davis,73,Email,488
56,Hannah,Garcia,53,Email,
57,Fiona,Jones,41,Phone,
58,Alice,Johnson,50,Email,
59,Fiona,Johnson,67,Phone,
60,Charlie,Miller,26,Mail,884
61,Bob,Williams,32,Mail,
62,Diana,Miller,21,Email,473
63,Hannah,Brown,70,Phone,442
64,Ethan,Garcia,60,Mail,
65,Diana,Smith,21,Email,256
66,Ethan,Miller,80,SMS,
67,Charlie,Miller,74,Email,
68,Fiona,Garcia,62,Email,
69,Alice,Jones,23,Mail,
70,Fiona,Davis,73,Email,
71,Diana,Miller,58,Email,740
72,Charlie,Miller,19,SMS,
73,Charlie,Brown,41,Phone,732
74,Fiona,Smith,76,SMS,
75,Ethan,Miller,23,SMS,
76,Bob,Johnson,80,SMS,821
77,Diana,Smith,23,Email,
78,Hannah,Miller,70,SMS,
79,Charlie,Williams,42,Email,
80,Diana,Smith,69,Mail,868
81,Charlie,Miller,70,SMS,25
82,Alice,Brown,74,SMS,
83,Fiona,Smith,60,Phone,
84,Diana,Miller,31,Mail,68
85,Diana,Johnson,46,Phone,
86,George,Garcia,22,Phone,44
87,Alice,Williams,72,Email,
88,Alice,Miller,69,Mail,
89,Fiona,Williams,59,Mail,
90,Bob,Johnson,20,Phone,823
91,George,Jones,36,Mail,
92,Bob,Smith,74,Phone,
93,Bob,Davis,76,Phone,
94,Hannah,Smith,41,SMS,
95,Hannah,Garcia,59,SMS,
96,Fiona,Brown,28,Email,
97,Bob,Davis,69,SMS,
98,Charlie,Johnson,80,Email,393
99,Diana,Davis,39,SMS,
100,George,Jones,39,Mail,105
101,Alice,Williams,27,Phone,
102,George,Williams,67,Phone,
103,Charlie,Davis,50,Email,
104,Ethan,Garcia,61,Mail,438
105,Alice,Miller,73,Mail,
106,Fiona,Davis,47,Email,731
107,Hannah,Garcia,60,Phone,130
108,Alice,Garcia,78,Phone,958
109,Diana,Smith,25,Phone,
110,Alice,Davis,50,Mail,
111,Hannah,Johnson,69,Phone,235
112,George,Johnson,40,Mail,264
113,Diana,Johnson,73,Email,
114,Hannah,Miller,78,Mail,
115,George,Smith,24,SMS,
116,George,Miller,71,SMS,
117,Bob,Garcia,56,Phone,456
118,Ethan,Garcia,62,SMS,620
119,Hannah,Williams,31,SMS,488
120,Hannah,Davis,68,SMS,
121,Hannah,Davis,69,SMS,
122,Ethan,Johnson,59,Mail,
123,Bob,Garcia,42,Phone,59
124,Ethan,Brown,67,SMS,533
125,George,Johnson,41,Mail,
126,Charlie,Williams,40,Phone,991
127,Hannah,Jones,57,Phone,
128,Diana,Jones,30,Email,
129,Ethan,Brown,57,Mail,163
130,Alice,Johnson,33,Email,
131,Bob,Williams,76,Mail,
132,Bob,Smith,56,Phone,
133,George,Williams,33,SMS,784
134,Hannah,Jones,45,Mail,
135,Charlie,Williams,30,Phone,689
136,Diana,Williams,51,Phone,918
137,Alice,Davis,64,Mail,654
138,Ethan,Jones,53,SMS,989
139,Bob,Miller,50,SMS,
140,Bob,Williams,47,SMS,
141,George,Jones,24,Mail,
142,Charlie,Jones,39,Phone,
143,Hannah,Jones,25,Mail,
144,Fiona,Garcia,72,Email,368
145,Bob,Johnson,18,SMS,
146,Hannah,Davis,42,Phone,184
147,Charlie,Brown,65,Mail,
148,Charlie,Jones,54,SMS,
149,George,Miller,61,Email,
150,Diana,Davis,32,Phone,614
151,Hannah,Garcia,47,Email,266
152,Charlie,Williams,33,Phone,284
153,George,Miller,34,SMS,
154,Bob,Brown,65,Mail,
155,Ethan,Johnson,76,SMS,428
156,Alice,Smith,33,Phone,
157,George,Brown,24,Mail,879
158,Diana,Brown,19,Email,551
159,Diana,Garcia,69,Mail,
160,Diana,Brown,70,Phone,694
161,Hannah,Jones,26,Mail,
162,Diana,Williams,22,SMS,
163,Fiona,Johnson,57,Mail,
164,Alice,Garcia,57,Email,
165,George,Garcia,59,Email,201
166,Hannah,Jones,30,SMS,493
167,Fiona,Garcia,28,Mail,
168,Bob,Williams,27,Mail,
169,Fiona,Miller,61,Mail,
170,Diana,Garcia,19,Phone,
171,Charlie,Williams,34,Phone,
